url	chapt_title	img_path
https://b7m.github.io/Product/no_toc/index.html	About this Course	resources/chapt_screen_images/index.png
https://b7m.github.io/Product/no_toc/first-week.html	1 First week	resources/chapt_screen_images/first-week.png
https://b7m.github.io/Product/no_toc/second-week.html	2 Second week	resources/chapt_screen_images/second-week.png
https://b7m.github.io/Product/no_toc/third-week.html	3 Third week	resources/chapt_screen_images/third-week.png
https://b7m.github.io/Product/no_toc/fourth-week.html	4 Fourth week	resources/chapt_screen_images/fourth-week.png
https://b7m.github.io/Product/no_toc/about-the-authors.html	About the Authors	resources/chapt_screen_images/about-the-authors.png
https://b7m.github.io/Product/no_toc/references.html	5 References	resources/chapt_screen_images/references.png
